year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock,shock_stockpile_release
2000,108.695652,20.0,1.0,99.99999984,99.99999984,100.0,1.5999999902760464e-07,1.5999999902760465e-09,0.19999999840000002,0.0,0.0,0.0,0.0
2001,108.695652,19.99999984,1.000000002048,99.99999986226086,99.99999986226086,99.9999999488,8.653913141642988e-08,8.653913146073793e-10,0.1999999976370087,0.0,0.0,0.0,0.0
2002,108.69565202968116,19.99999975346087,1.000000003874549,99.99999990942132,99.99999990942132,99.99999990313628,0.0,-6.285034720980309e-11,0.19999999779118646,0.0,0.0,0.0,0.0
2003,108.69565207594032,19.999999759745904,1.000000004884499,99.99999996295747,99.99999996295747,99.99999987788752,0.0,-8.506995651643448e-10,0.19999999869238358,0.0,0.0,0.0,0.0
2004,108.69565212141671,19.99999984481586,1.0000000048315953,100.00000000422072,100.00000000422072,99.99999987921012,0.0,-1.2501060113302302e-09,0.19999999993984438,0.0,0.0,0.0,0.0
2005,108.69565215096759,19.99999996982646,1.0000000038603853,100.00000002085089,100.00000002085089,99.99999990349036,0.0,-1.1736052851987126e-09,0.2000000010648892,0.0,0.0,0.0,0.0
2006,108.69565215659267,20.00000008718699,1.0000000024103544,100.00000001026477,100.00000001026477,99.99999993974114,0.0,-7.052362609258639e-10,0.20000000169762389,0.0,0.0,0.0,0.0
2007,108.69565215659267,20.000000157710616,1.000000001031306,99.99999999527512,99.99999999527512,99.99999997421735,0.0,-2.1057772420108018e-10,0.20000000183924918,0.0,0.0,0.0,0.0
2008,108.69565215659267,20.00000017876839,0.9999999999800041,99.99999998384791,99.99999998384791,100.0000000004999,1.665198112732469e-08,1.6651981127241447e-10,0.2000000016201643,0.0,0.0,0.0,0.0
2009,108.69565215659267,20.000000162116407,0.9999999993355411,99.99999997684289,99.99999997684289,100.00000001661147,3.9768579540577775e-08,3.9768579533971634e-10,0.20000000119025535,0.0,0.0,0.0,0.0
2010,108.69565215659267,20.000000122347828,0.9999999990823671,99.999999974091,99.999999974091,100.00000002294082,4.88498272943616e-08,4.884982728315505e-10,0.20000000068909835,0.0,0.0,0.0,0.0
2011,108.69565215659267,20.000000073498,0.9999999991423986,99.9999999747435,99.9999999747435,100.00000002144003,4.669652753364062e-08,4.669652752362887e-10,0.20000000022513467,0.0,0.0,0.0,0.0
